,RN,CCTVID,CCTVNAME,CENTERNAME,XCOORD,YCOORD,URL
10,11,L280008,고현동 보건소밑,거제교통정보센터,128.63618687,34.89212535,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280008&cctvName=%25EA%25B3%25A0%25ED%2598%2584%25EB%258F%2599%2520%25EB%25B3%25B4%25EA%25B1%25B4%25EC%2586%258C%25EB%25B0%2591&kind=t&cctvip=null&cctvch=52&id=637bef0325205&cctvpasswd=null&cctvport=null
11,12,L280009,남부면 도장포마을교차로,거제교통정보센터,128.66076143,34.7402533,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280009&cctvName=%25EB%2582%25A8%25EB%25B6%2580%25EB%25A9%25B4%2520%25EB%258F%2584%25EC%259E%25A5%25ED%258F%25AC%25EB%25A7%2588%25EC%259D%2584%25EA%25B5%2590%25EC%25B0%25A8%25EB%25A1%259C&kind=t&cctvip=null&cctvch=48&id=637bef0325205&cctvpasswd=null&cctvport=null
12,13,L280010,남부면 저구삼거리,거제교통정보센터,128.6136415,34.7300588,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280010&cctvName=%25EB%2582%25A8%25EB%25B6%2580%25EB%25A9%25B4%2520%25EC%25A0%2580%25EA%25B5%25AC%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=38&id=637bef0325205&cctvpasswd=null&cctvport=null
13,14,L280011,남부면 함목삼거리,거제교통정보센터,128.6507193,34.7416547,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280011&cctvName=%25EB%2582%25A8%25EB%25B6%2580%25EB%25A9%25B4%2520%25ED%2595%25A8%25EB%25AA%25A9%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=28&id=637bef0325205&cctvpasswd=null&cctvport=null
14,15,L280012,덕포동 덕포교차로,거제교통정보센터,128.7072378,34.9146874,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280012&cctvName=%25EB%258D%2595%25ED%258F%25AC%25EB%258F%2599%2520%25EB%258D%2595%25ED%258F%25AC%25EA%25B5%2590%25EC%25B0%25A8%25EB%25A1%259C&kind=t&cctvip=null&cctvch=33&id=637bef0325205&cctvpasswd=null&cctvport=null
15,16,L280013,덕포동 하덕마을교차로,거제교통정보센터,128.70401278,34.91079013,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280013&cctvName=%25EB%258D%2595%25ED%258F%25AC%25EB%258F%2599%2520%25ED%2595%2598%25EB%258D%2595%25EB%25A7%2588%25EC%259D%2584%25EA%25B5%2590%25EC%25B0%25A8%25EB%25A1%259C&kind=t&cctvip=null&cctvch=53&id=637bef0325205&cctvpasswd=null&cctvport=null
16,17,L280014,동부면 연담삼거리,거제교통정보센터,128.6296646,34.8102623,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280014&cctvName=%25EB%258F%2599%25EB%25B6%2580%25EB%25A9%25B4%2520%25EC%2597%25B0%25EB%258B%25B4%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=35&id=637bef0325205&cctvpasswd=null&cctvport=null
17,18,L280015,동부면 학동삼거리,거제교통정보센터,128.6409485,34.7746521,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280015&cctvName=%25EB%258F%2599%25EB%25B6%2580%25EB%25A9%25B4%2520%25ED%2595%2599%25EB%258F%2599%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=11&id=637bef0325205&cctvpasswd=null&cctvport=null
18,19,L280016,동부면 학동삼거리1,거제교통정보센터,128.640994,34.774894,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280016&cctvName=%25EB%258F%2599%25EB%25B6%2580%25EB%25A9%25B4%2520%25ED%2595%2599%25EB%258F%2599%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC1&kind=t&cctvip=null&cctvch=40&id=637bef0325205&cctvpasswd=null&cctvport=null
19,20,L280017,동부면 학동삼거리2,거제교통정보센터,128.641214,34.77509,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280017&cctvName=%25EB%258F%2599%25EB%25B6%2580%25EB%25A9%25B4%2520%25ED%2595%2599%25EB%258F%2599%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC2&kind=t&cctvip=null&cctvch=41&id=637bef0325205&cctvpasswd=null&cctvport=null
20,21,L280019,문동동 상동교차로,거제교통정보센터,128.6405141,34.8660624,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280019&cctvName=%25EB%25AC%25B8%25EB%258F%2599%25EB%258F%2599%2520%25EC%2583%2581%25EB%258F%2599%25EA%25B5%2590%25EC%25B0%25A8%25EB%25A1%259C&kind=t&cctvip=null&cctvch=7&id=637bef0325205&cctvpasswd=null&cctvport=null
21,22,L280020,사등면 구거제대교,거제교통정보센터,128.476879,34.88339791,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280020&cctvName=%25EC%2582%25AC%25EB%2593%25B1%25EB%25A9%25B4%2520%25EA%25B5%25AC%25EA%25B1%25B0%25EC%25A0%259C%25EB%258C%2580%25EA%25B5%2590&kind=t&cctvip=null&cctvch=54&id=637bef0325205&cctvpasswd=null&cctvport=null
22,23,L280021,사등면 두동마을,거제교통정보센터,128.5761112,34.89227763,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280021&cctvName=%25EC%2582%25AC%25EB%2593%25B1%25EB%25A9%25B4%2520%25EB%2591%2590%25EB%258F%2599%25EB%25A7%2588%25EC%259D%2584&kind=t&cctvip=null&cctvch=34&id=637bef0325205&cctvpasswd=null&cctvport=null
23,24,L280022,사등면 두동터널후방,거제교통정보센터,128.57836991,34.87772852,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280022&cctvName=%25EC%2582%25AC%25EB%2593%25B1%25EB%25A9%25B4%2520%25EB%2591%2590%25EB%258F%2599%25ED%2584%25B0%25EB%2584%2590%25ED%259B%2584%25EB%25B0%25A9&kind=t&cctvip=null&cctvch=55&id=637bef0325205&cctvpasswd=null&cctvport=null
24,25,L280024,사등면 사곡램프,거제교통정보센터,128.5704947,34.8979657,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280024&cctvName=%25EC%2582%25AC%25EB%2593%25B1%25EB%25A9%25B4%2520%25EC%2582%25AC%25EA%25B3%25A1%25EB%259E%25A8%25ED%2594%2584&kind=t&cctvip=null&cctvch=5&id=637bef0325205&cctvpasswd=null&cctvport=null
25,26,L280025,사등면 신거제대교입구,거제교통정보센터,128.4844096,34.8868764,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280025&cctvName=%25EC%2582%25AC%25EB%2593%25B1%25EB%25A9%25B4%2520%25EC%258B%25A0%25EA%25B1%25B0%25EC%25A0%259C%25EB%258C%2580%25EA%25B5%2590%25EC%259E%2585%25EA%25B5%25AC&kind=t&cctvip=null&cctvch=6&id=637bef0325205&cctvpasswd=null&cctvport=null
26,27,L280027,삼거동 삼거마을,거제교통정보센터,128.650406,34.836064,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280027&cctvName=%25EC%2582%25BC%25EA%25B1%25B0%25EB%258F%2599%2520%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A7%2588%25EC%259D%2584&kind=t&cctvip=null&cctvch=42&id=637bef0325205&cctvpasswd=null&cctvport=null
27,28,L280028,상동동 독봉산웰빙공원,거제교통정보센터,128.63278009,34.8778483,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280028&cctvName=%25EC%2583%2581%25EB%258F%2599%25EB%258F%2599%2520%25EB%258F%2585%25EB%25B4%2589%25EC%2582%25B0%25EC%259B%25B0%25EB%25B9%2599%25EA%25B3%25B5%25EC%259B%2590&kind=t&cctvip=null&cctvch=51&id=637bef0325205&cctvpasswd=null&cctvport=null
28,29,L280029,상동동 상동사거리,거제교통정보센터,128.6317309,34.8741741,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280029&cctvName=%25EC%2583%2581%25EB%258F%2599%25EB%258F%2599%2520%25EC%2583%2581%25EB%258F%2599%25EC%2582%25AC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=21&id=637bef0325205&cctvpasswd=null&cctvport=null
29,30,L280030,수월동 수월삼거리,거제교통정보센터,128.6422001,34.8962048,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280030&cctvName=%25EC%2588%2598%25EC%259B%2594%25EB%258F%2599%2520%25EC%2588%2598%25EC%259B%2594%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=22&id=637bef0325205&cctvpasswd=null&cctvport=null
30,31,L280031,아주동 아주대동다숲,거제교통정보센터,128.68535643,34.86783996,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280031&cctvName=%25EC%2595%2584%25EC%25A3%25BC%25EB%258F%2599%2520%25EC%2595%2584%25EC%25A3%25BC%25EB%258C%2580%25EB%258F%2599%25EB%258B%25A4%25EC%2588%25B2&kind=t&cctvip=null&cctvch=39&id=637bef0325205&cctvpasswd=null&cctvport=null
31,32,L280032,아주동 아주운동장앞사거리,거제교통정보센터,128.6904029,34.8648929,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280032&cctvName=%25EC%2595%2584%25EC%25A3%25BC%25EB%258F%2599%2520%25EC%2595%2584%25EC%25A3%25BC%25EC%259A%25B4%25EB%258F%2599%25EC%259E%25A5%25EC%2595%259E%25EC%2582%25AC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=24&id=637bef0325205&cctvpasswd=null&cctvport=null
32,33,L280033,아주동 아주터널사거리,거제교통정보센터,128.6893953,34.8695344,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280033&cctvName=%25EC%2595%2584%25EC%25A3%25BC%25EB%258F%2599%2520%25EC%2595%2584%25EC%25A3%25BC%25ED%2584%25B0%25EB%2584%2590%25EC%2582%25AC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=8&id=637bef0325205&cctvpasswd=null&cctvport=null
33,34,L280036,연초면 송정IC,거제교통정보센터,128.6794582,34.9125789,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280036&cctvName=%25EC%2597%25B0%25EC%25B4%2588%25EB%25A9%25B4%2520%25EC%2586%25A1%25EC%25A0%2595IC&kind=t&cctvip=null&cctvch=1&id=637bef0325205&cctvpasswd=null&cctvport=null
34,35,L280037,연초면 야부삼거리,거제교통정보센터,128.666056,34.911636,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280037&cctvName=%25EC%2597%25B0%25EC%25B4%2588%25EB%25A9%25B4%2520%25EC%2595%25BC%25EB%25B6%2580%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=43&id=637bef0325205&cctvpasswd=null&cctvport=null
35,36,L280038,연초면 양지휴게소후방,거제교통정보센터,128.68133922,34.90120639,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280038&cctvName=%25EC%2597%25B0%25EC%25B4%2588%25EB%25A9%25B4%2520%25EC%2596%2591%25EC%25A7%2580%25ED%259C%25B4%25EA%25B2%258C%25EC%2586%258C%25ED%259B%2584%25EB%25B0%25A9&kind=t&cctvip=null&cctvch=47&id=637bef0325205&cctvpasswd=null&cctvport=null
36,37,L280039,연초면 연사삼거리,거제교통정보센터,128.64591726,34.90567356,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280039&cctvName=%25EC%2597%25B0%25EC%25B4%2588%25EB%25A9%25B4%2520%25EC%2597%25B0%25EC%2582%25AC%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=49&id=637bef0325205&cctvpasswd=null&cctvport=null
37,38,L280041,연초면 연초치안센터,거제교통정보센터,128.6532241,34.9120913,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280041&cctvName=%25EC%2597%25B0%25EC%25B4%2588%25EB%25A9%25B4%2520%25EC%2597%25B0%25EC%25B4%2588%25EC%25B9%2598%25EC%2595%2588%25EC%2584%25BC%25ED%2584%25B0&kind=t&cctvip=null&cctvch=30&id=637bef0325205&cctvpasswd=null&cctvport=null
38,39,L280040,연초면 죽토교,거제교통정보센터,128.65691969,34.91168739,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280040&cctvName=%25EC%2597%25B0%25EC%25B4%2588%25EB%25A9%25B4%2520%25EC%25A3%25BD%25ED%2586%25A0%25EA%25B5%2590&kind=t&cctvip=null&cctvch=46&id=637bef0325205&cctvpasswd=null&cctvport=null
39,40,L280042,옥포동 옥포삼거리,거제교통정보센터,128.6878577,34.8930792,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280042&cctvName=%25EC%2598%25A5%25ED%258F%25AC%25EB%258F%2599%2520%25EC%2598%25A5%25ED%258F%25AC%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=9&id=637bef0325205&cctvpasswd=null&cctvport=null
40,41,L280043,일운면 구조라해수욕장,거제교통정보센터,128.691046,34.809313,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280043&cctvName=%25EC%259D%25BC%25EC%259A%25B4%25EB%25A9%25B4%2520%25EA%25B5%25AC%25EC%25A1%25B0%25EB%259D%25BC%25ED%2595%25B4%25EC%2588%2598%25EC%259A%2595%25EC%259E%25A5&kind=t&cctvip=null&cctvch=44&id=637bef0325205&cctvpasswd=null&cctvport=null
41,42,L280044,일운면 망치삼거리,거제교통정보센터,128.6786684,34.8147073,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280044&cctvName=%25EC%259D%25BC%25EC%259A%25B4%25EB%25A9%25B4%2520%25EB%25A7%259D%25EC%25B9%2598%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=36&id=637bef0325205&cctvpasswd=null&cctvport=null
42,43,L280045,일운면 신촌사거리,거제교통정보센터,128.6993404,34.8352579,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280045&cctvName=%25EC%259D%25BC%25EC%259A%25B4%25EB%25A9%25B4%2520%25EC%258B%25A0%25EC%25B4%258C%25EC%2582%25AC%25EA%25B1%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=27&id=637bef0325205&cctvpasswd=null&cctvport=null
43,44,L280046,일운면 와현해수욕장,거제교통정보센터,128.709425,34.8263,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280046&cctvName=%25EC%259D%25BC%25EC%259A%25B4%25EB%25A9%25B4%2520%25EC%2599%2580%25ED%2598%2584%25ED%2595%25B4%25EC%2588%2598%25EC%259A%2595%25EC%259E%25A5&kind=t&cctvip=null&cctvch=45&id=637bef0325205&cctvpasswd=null&cctvport=null
44,45,L280047,장목면 관포교차로,거제교통정보센터,128.689365,34.9910847,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280047&cctvName=%25EC%259E%25A5%25EB%25AA%25A9%25EB%25A9%25B4%2520%25EA%25B4%2580%25ED%258F%25AC%25EA%25B5%2590%25EC%25B0%25A8%25EB%25A1%259C&kind=t&cctvip=null&cctvch=31&id=637bef0325205&cctvpasswd=null&cctvport=null
45,46,L280048,장목면 대금교차로,거제교통정보센터,128.6984487,34.9684732,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280048&cctvName=%25EC%259E%25A5%25EB%25AA%25A9%25EB%25A9%25B4%2520%25EB%258C%2580%25EA%25B8%2588%25EA%25B5%2590%25EC%25B0%25A8%25EB%25A1%259C&kind=t&cctvip=null&cctvch=29&id=637bef0325205&cctvpasswd=null&cctvport=null
46,47,L280049,장목면 외포교차로,거제교통정보센터,128.7102305,34.9399581,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280049&cctvName=%25EC%259E%25A5%25EB%25AA%25A9%25EB%25A9%25B4%2520%25EC%2599%25B8%25ED%258F%25AC%25EA%25B5%2590%25EC%25B0%25A8%25EB%25A1%259C&kind=t&cctvip=null&cctvch=32&id=637bef0325205&cctvpasswd=null&cctvport=null
47,48,L280050,장승포동 두모로터리,거제교통정보센터,128.7222678,34.8703941,https://www.utic.go.kr/view/map/openDataCctvStream.jsp?key=XxTwsc3p80QmOWMFWzJ3Y6W4zJmhHXjxKGxpDAeQS9fxU8tEPej1yQhboGwXhk&cctvid=L280050&cctvName=%25EC%259E%25A5%25EC%258A%25B9%25ED%258F%25AC%25EB%258F%2599%2520%25EB%2591%2590%25EB%25AA%25A8%25EB%25A1%259C%25ED%2584%25B0%25EB%25A6%25AC&kind=t&cctvip=null&cctvch=10&id=637bef0325205&cctvpasswd=null&cctvport=null
